RECORDING_SESSION_LABEL	AVERAGE_FIXATION_DURATION	SACCADE_COUNT	VISITED_INTEREST_AREA_COUNT	hunger	recorder_trial	resp	rt	rtype	sim	sub	tar	tcateg	time	tired	tnum	tutra	tuttime
78_ym	238.36	10	6	2	282	space	2.95693106775	cr	False	78_ym	False	Utility_Vehicles	2090.52	2	250	NA	NA
78_ym	288.67	3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	200.18	10	10	2	10	space	2.48990969959	cr	False	78_ym	False	Utility_Vehicles	2096.95	2	251	1	24.48
78_ym	330.00	2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	276.89	8	6	2	188	space	2.7233635679	cr	False	78_ym	False	Utility_Vehicles	2106.05	2	252	NA	NA
78_ym	1010.00	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	181.50	11	6	2	242	space	2.79817676306	cr	False	78_ym	False	Utility_Vehicles	2112.22	2	253	NA	NA
78_ym	209.00	3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	199.09	10	7	2	115	space	2.44766074745	cr	False	78_ym	False	Utility_Vehicles	2118.82	2	254	NA	NA
78_ym	310.00	2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	215.20	10	9	2	138	space	2.45208541432	cr	False	78_ym	False	Utility_Vehicles	2124.96	2	255	NA	NA
78_ym	223.50	3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	169.71	6	3	2	243	space	1.36216948333	cr	False	78_ym	False	Utility_Vehicles	2131.12	2	256	1	29.89
78_ym	322.67	2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	171.62	15	10	2	298	space	3.22346418677	cr	False	78_ym	False	Utility_Vehicles	2141.37	2	257	NA	NA
78_ym	493.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	212.67	8	6	2	82	space	2.23919959384	cr	False	78_ym	False	Utility_Vehicles	2149.68	2	258	NA	NA
78_ym	442.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	202.62	12	9	2	279	space	3.06297938322	cr	False	78_ym	False	Utility_Vehicles	2155.38	2	259	1	21.42
78_ym	448.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	205.78	8	6	2	141	return	2.02541901643	hi	False	78_ym	True	Utility_Vehicles	2165.84	2	260	NA	NA
78_ym	1002.00	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	177.00	9	8	2	288	space	2.09988545207	cr	False	78_ym	False	Utility_Vehicles	2171.75	2	261	NA	NA
78_ym	454.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	194.55	10	7	2	146	space	2.38726923167	cr	False	78_ym	False	Utility_Vehicles	2177.73	2	262	NA	NA
78_ym	444.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	177.60	4	3	2	34	return	0.895587979292	hi	False	78_ym	True	Utility_Vehicles	2184.13	2	263	1	22.66
78_ym	497.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	190.57	7	4	2	234	space	1.57231275074	cr	False	78_ym	False	Utility_Vehicles	2192.09	2	264	NA	NA
78_ym	221.33	2	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	184.17	11	7	2	28	space	2.61352215725	cr	False	78_ym	False	Utility_Vehicles	2197.12	2	265	NA	NA
78_ym	318.67	2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	199.60	9	8	2	212	space	2.18400067446	cr	False	78_ym	False	Utility_Vehicles	2207.11	2	266	2	21.8
78_ym	912.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	218.00	10	6	2	60	space	2.69115781412	cr	False	78_ym	False	Utility_Vehicles	2215.18	2	267	NA	NA
78_ym	197.50	3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	157.40	9	6	2	113	space	1.78235814843	cr	False	78_ym	False	Utility_Vehicles	2221.7	2	268	NA	NA
78_ym	229.00	3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	196.22	8	5	2	65	return	1.90236078756	fa	True	78_ym	True	Utility_Vehicles	2226.92	2	269	NA	NA
78_ym	302.67	2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	241.54	13	7	2	130	return	3.62638378516	fa	False	78_ym	False	Utility_Vehicles	2236.7	2	270	1	28.62
78_ym	194.50	3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	186.00	6	4	2	109	return	1.39572928561	hi	False	78_ym	True	Utility_Vehicles	2247.37	2	271	NA	NA
78_ym	1012.00	0	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	246.44	8	5	2	8	space	2.43902804685	cr	False	78_ym	False	Utility_Vehicles	2252.61	2	272	NA	NA
78_ym	494.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	165.83	11	7	2	12	space	2.25627145485	cr	False	78_ym	False	Utility_Vehicles	2258.66	2	273	NA	NA
78_ym	325.33	2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	187.67	5	5	2	264	space	1.22727744246	cr	True	78_ym	True	Utility_Vehicles	2266.12	2	274	1	23.56
78_ym	407.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	203.33	9	4	2	35	space	2.05174268677	cr	False	78_ym	False	Utility_Vehicles	2274.98	2	275	NA	NA
78_ym	282.00	2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	196.22	8	6	2	278	space	1.95492638688	cr	False	78_ym	False	Utility_Vehicles	2282.28	2	276	NA	NA
78_ym	171.50	3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	136.46	13	5	2	262	return	2.6189185573	fa	True	78_ym	True	Utility_Vehicles	2287.7	2	277	NA	NA
78_ym	173.20	4	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	283.20	4	2	2	157	return	1.47184227937	hi	False	78_ym	True	Utility_Vehicles	2296.06	2	278	1	26.03
78_ym	1010.00	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	168.67	8	5	2	38	space	1.73667678965	cr	False	78_ym	False	Utility_Vehicles	2306.23	2	279	NA	NA
78_ym	220.00	3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	195.67	6	2	2	159	space	1.33502546628	cr	False	78_ym	False	Utility_Vehicles	2312.09	2	280	NA	NA
78_ym	216.67	3	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	191.45	10	6	2	189	space	2.40999847878	cr	False	78_ym	False	Utility_Vehicles	2318.11	2	281	NA	NA
78_ym	231.50	3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	173.86	13	8	2	170	space	2.77685508126	cr	False	78_ym	False	Utility_Vehicles	2323.97	2	282	NA	NA
78_ym	320.00	2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	214.74	18	10	2	182	space	4.62405507098	cr	False	78_ym	False	Utility_Vehicles	2330.2	2	283	1	32.05
78_ym	222.00	3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	203.43	6	4	2	103	space	1.51132705185	cr	False	78_ym	False	Utility_Vehicles	2341.01	2	284	NA	NA
78_ym	172.80	4	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	156.00	6	3	2	172	return	1.18400470656	fa	True	78_ym	True	Utility_Vehicles	2346.03	2	285	NA	NA
78_ym	1000.00	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	194.55	11	8	2	280	space	2.45216605603	cr	False	78_ym	False	Utility_Vehicles	2350.84	2	286	NA	NA
78_ym	412.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	226.20	9	6	2	168	space	2.56619607308	cr	False	78_ym	False	Utility_Vehicles	2357.71	2	287	NA	NA
78_ym	460.00	2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	219.00	4	3	2	187	return	0.938443943916	hi	False	78_ym	True	Utility_Vehicles	2364.23	2	288	1	27.62
78_ym	253.33	2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	214.89	8	4	2	58	space	2.16920767637	cr	False	78_ym	False	Utility_Vehicles	2370.68	2	289	NA	NA
78_ym	414.00	2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	210.67	9	3	2	75	space	2.10293297755	cr	False	78_ym	False	Utility_Vehicles	2376.32	2	290	NA	NA
78_ym	178.00	3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	188.50	3	3	2	250	return	0.767522263515	hi	False	78_ym	True	Utility_Vehicles	2385.03	2	291	NA	NA
78_ym	306.00	2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	172.50	4	3	2	296	space	0.757677737216	cr	False	78_ym	False	Utility_Vehicles	2389.95	2	292	1	23.5
78_ym	315.33	2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	185.50	7	7	2	129	return	1.63840967114	fa	False	78_ym	False	Utility_Vehicles	2399.14	2	293	NA	NA
78_ym	204.00	3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	251.60	10	7	2	110	space	2.81191958551	mi	False	78_ym	True	Utility_Vehicles	2404.23	2	294	NA	NA
78_ym	411.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	184.92	13	7	2	266	space	2.8690355795	cr	False	78_ym	False	Utility_Vehicles	2410.5	2	295	NA	NA
78_ym	410.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	194.00	9	6	2	269	space	2.20197682281	cr	False	78_ym	False	Utility_Vehicles	2416.8	2	296	NA	NA
78_ym	1002.00	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	293.64	11	5	2	299	space	3.53621309955	cr	False	78_ym	False	Utility_Vehicles	2422.48	2	297	1	31.25
78_ym	162.00	4	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	219.33	12	5	2	33	space	2.90642549895	cr	False	78_ym	False	Utility_Vehicles	2434.55	2	298	NA	NA
78_ym	497.00	1	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	150.57	13	4	2	155	space	3.49533359113	cr	False	78_ym	False	Utility_Vehicles	2441.32	2	299	NA	NA
78_ym	446.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
78_ym	230.91	10	4	2	108	return	2.82163251919	fa	False	78_ym	False	Utility_Vehicles	2448.45	2	300	1	20.93
80_rk	412.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	1014.00	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	1014.00	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	277.83	12	8	2	109	return	3.80316042394	hi	False	80_rk	True	Cats	3.98	3	1	NA	NA
80_rk	992.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	217.33	9	6	2	57	space	2.32385548262	cr	False	80_rk	False	Cats	11.28	3	2	NA	NA
80_rk	429.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	202.89	8	7	2	21	space	2.11439657054	cr	False	80_rk	False	Cats	17.05	3	3	NA	NA
80_rk	1012.00	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	200.57	6	5	2	115	return	1.5508598428	hi	False	80_rk	True	Cats	22.62	3	4	NA	NA
80_rk	435.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	405.33	6	6	2	267	space	2.74005018116	cr	False	80_rk	False	Cats	27.64	3	5	0	30.4
80_rk	327.33	2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	220.36	11	9	2	260	space	2.97559523699	cr	False	80_rk	False	Cats	36.39	3	6	NA	NA
80_rk	1016.00	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	178.25	8	6	2	197	space	1.77579940727	cr	False	80_rk	False	Cats	42.85	3	7	NA	NA
80_rk	418.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	299.11	8	8	2	83	space	2.97564692108	cr	False	80_rk	False	Cats	48.11	3	8	0	18.14
80_rk	500.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	205.00	7	5	2	14	space	1.85159753158	cr	False	80_rk	False	Cats	56.13	3	9	NA	NA
80_rk	850.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	200.60	9	6	2	152	space	2.38542070257	cr	False	80_rk	False	Cats	61.43	3	10	NA	NA
80_rk	397.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	238.67	8	6	2	81	space	2.41636184696	cr	False	80_rk	False	Cats	67.29	3	11	NA	NA
80_rk	1010.00	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	226.89	8	6	2	117	space	2.3227671854	cr	False	80_rk	False	Cats	73.14	3	12	NA	NA
80_rk	325.33	2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	216.80	10	6	2	219	return	2.64341165969	fa	True	80_rk	True	Cats	78.91	3	13	0	28.9
80_rk	874.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	272.86	6	6	2	281	space	2.08938699431	cr	False	80_rk	False	Cats	86.43	3	14	NA	NA
80_rk	1014.00	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	230.86	6	5	2	84	space	1.91415464523	cr	False	80_rk	False	Cats	92.0	3	15	NA	NA
80_rk	838.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	188.00	5	6	2	224	space	1.240191121	cr	False	80_rk	False	Cats	97.36	3	16	NA	NA
80_rk	1010.00	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	311.00	3	3	2	168	return	1.28593369416	hi	False	80_rk	True	Cats	102.08	3	17	NA	NA
80_rk	900.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	205.00	7	5	2	9	return	1.80580840621	hi	False	80_rk	True	Cats	107.69	3	18	0	26.55
80_rk	415.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	189.00	11	5	2	116	space	2.71901551069	cr	False	80_rk	False	Cats	114.27	3	19	NA	NA
80_rk	394.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	228.00	10	7	2	296	space	2.90029342606	cr	False	80_rk	False	Cats	120.43	3	20	NA	NA
80_rk	1016.00	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	195.67	5	4	2	204	space	1.30596327502	cr	False	80_rk	False	Cats	126.78	3	21	NA	NA
80_rk	499.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	234.50	7	6	2	156	space	2.10197260749	cr	False	80_rk	False	Cats	131.54	3	22	NA	NA
80_rk	828.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	280.00	6	7	2	298	space	2.15181508113	cr	False	80_rk	False	Cats	137.09	3	23	NA	NA
80_rk	1014.00	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	265.56	8	5	2	143	space	2.71468101605	cr	False	80_rk	False	Cats	142.68	3	24	0	34.57
80_rk	380.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	222.00	5	5	2	256	return	1.42272374878	hi	False	80_rk	True	Cats	149.85	3	25	NA	NA
80_rk	1012.00	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	197.60	9	5	2	273	space	2.27610346343	cr	False	80_rk	False	Cats	155.0	3	26	NA	NA
80_rk	1016.00	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	232.22	8	7	2	43	space	2.34186315461	cr	False	80_rk	False	Cats	160.74	3	27	NA	NA
80_rk	403.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	211.11	9	4	2	108	space	2.18487453792	cr	False	80_rk	False	Cats	173.04	3	28	1	28.83
80_rk	300.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	254.00	6	3	2	184	space	2.01338103414	cr	False	80_rk	False	Cats	181.17	3	29	NA	NA
80_rk	1010.00	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	519.20	4	3	2	164	space	2.76939315244	cr	False	80_rk	False	Cats	186.65	3	30	NA	NA
80_rk	174.67	2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	205.71	6	6	2	151	space	1.64527998271	cr	False	80_rk	False	Cats	192.87	3	31	NA	NA
80_rk	407.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	304.67	8	6	2	225	space	3.01246208465	cr	False	80_rk	False	Cats	197.94	3	32	NA	NA
80_rk	1000.00	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	166.25	8	4	2	52	space	1.70738403627	cr	False	80_rk	False	Cats	204.39	3	33	0	28.36
80_rk	191.33	2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	178.44	8	5	2	51	space	1.85794037278	cr	False	80_rk	False	Cats	210.82	3	34	NA	NA
80_rk	1014.00	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	215.71	7	7	2	2	space	1.78862437984	cr	False	80_rk	False	Cats	216.14	3	35	NA	NA
80_rk	1016.00	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	171.60	9	7	2	176	space	1.92608229496	cr	False	80_rk	False	Cats	221.42	3	36	NA	NA
80_rk	364.00	2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	247.67	6	5	2	162	space	1.69146242004	cr	False	80_rk	False	Cats	226.81	3	37	NA	NA
80_rk	408.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	268.33	6	4	2	88	space	1.79797882424	cr	False	80_rk	False	Cats	231.94	3	38	0	26.38
80_rk	778.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	264.67	5	5	2	294	space	1.8014940719	cr	False	80_rk	False	Cats	238.4	3	39	NA	NA
80_rk	1016.00	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	177.33	5	4	2	53	space	1.35129677452	cr	False	80_rk	False	Cats	243.64	3	40	NA	NA
80_rk	379.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	206.75	7	5	2	15	space	1.90599259926	cr	False	80_rk	False	Cats	248.49	3	41	NA	NA
80_rk	411.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	265.43	6	7	2	18	space	2.1198875414	cr	False	80_rk	False	Cats	253.92	3	42	NA	NA
80_rk	914.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	200.00	7	5	2	262	space	1.8045045755	cr	False	80_rk	False	Cats	259.75	3	43	0	26.6
80_rk	1014.00	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	206.86	6	6	2	25	space	1.60303836165	cr	False	80_rk	False	Cats	266.14	3	44	NA	NA
80_rk	419.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
